,TimeStamp,Trade
142,23-09-2020 05:15:28.246 [DefaultMessageListenerContainer-1],20200923045415
143,23-09-2020 05:15:28.249 [DefaultMessageListenerContainer-1],20200923045416
144,23-09-2020 05:15:28.253 [DefaultMessageListenerContainer-1],20200923045417
145,23-09-2020 05:15:28.257 [DefaultMessageListenerContainer-1],20200923045418
146,23-09-2020 05:15:28.261 [DefaultMessageListenerContainer-1],20200923045419
147,23-09-2020 05:15:28.265 [DefaultMessageListenerContainer-1],20200923045420
148,23-09-2020 05:15:28.269 [DefaultMessageListenerContainer-1],20200923045421
149,23-09-2020 05:15:28.273 [DefaultMessageListenerContainer-1],20200923045422
150,23-09-2020 05:15:28.278 [DefaultMessageListenerContainer-1],20200923045423
151,23-09-2020 05:15:28.302 [DefaultMessageListenerContainer-1],20200923045424
152,23-09-2020 05:15:28.307 [DefaultMessageListenerContainer-1],20200923045425
153,23-09-2020 05:15:28.313 [DefaultMessageListenerContainer-1],20200923045426
154,23-09-2020 05:15:28.321 [DefaultMessageListenerContainer-1],20200923045427
155,23-09-2020 05:15:28.325 [DefaultMessageListenerContainer-1],20200923045428
156,23-09-2020 05:15:28.330 [DefaultMessageListenerContainer-1],20200923045430
157,23-09-2020 05:15:28.334 [DefaultMessageListenerContainer-1],20200923045431
158,23-09-2020 05:15:28.338 [DefaultMessageListenerContainer-1],20200923045432
159,23-09-2020 05:15:28.342 [DefaultMessageListenerContainer-1],20200923045433
160,23-09-2020 05:15:28.347 [DefaultMessageListenerContainer-1],20200923045434
161,23-09-2020 05:15:28.351 [DefaultMessageListenerContainer-1],20200923045435
162,23-09-2020 05:15:28.355 [DefaultMessageListenerContainer-1],20200923045436
163,23-09-2020 05:15:28.359 [DefaultMessageListenerContainer-1],20200923045437
164,23-09-2020 05:15:28.363 [DefaultMessageListenerContainer-1],20200923045438
165,23-09-2020 05:15:28.367 [DefaultMessageListenerContainer-1],20200923045439
166,23-09-2020 05:15:28.371 [DefaultMessageListenerContainer-1],20200923045440
167,23-09-2020 05:15:28.375 [DefaultMessageListenerContainer-1],20200923045441
168,23-09-2020 05:15:28.379 [DefaultMessageListenerContainer-1],20200923045442
