,TimeStamp,Trade
63,05:16:32.116,20200923045335
64,05:16:32.620,20200923045247
65,05:16:32.906,20200923045220
66,05:16:33.619,20200923045233
67,05:16:34.216,20200923045222
68,05:16:34.822,20200923045340
69,05:16:34.841,20200923045208
70,05:16:35.316,20200923045224
71,05:16:35.718,20200923045257
72,05:16:35.929,20200923045227
73,05:16:36.634,20200923045240
74,05:16:36.719,20200923045346
75,05:16:37.321,20200923045400
76,05:16:37.412,20200923045210
77,05:16:38.118,20200923045334
78,05:16:38.134,20200923045301
79,05:16:38.611,20200923045401
80,05:16:39.021,20200923045248
81,05:16:39.116,20200923045236
82,05:16:39.618,20200923045338
83,05:16:39.799,20200923045215
84,05:16:40.102,20200923045237
85,05:16:40.602,20200923045416
86,05:16:40.667,20200923045312
87,05:16:41.038,20200923045417
88,05:16:41.402,20200923045253
89,05:16:41.521,20200923045348
90,05:16:42.003,20200923045249
91,05:16:42.209,20200923045254
92,05:16:42.418,20200923045255
93,05:16:43.005,20200923045353
94,05:16:43.207,20200923045337
95,05:16:43.494,20200923045354
96,05:16:43.994,20200923045259
97,05:16:44.010,20200923045303
98,05:16:44.410,20200923045425
99,05:16:44.895,20200923045300
100,05:16:44.908,20200923045305
101,05:16:45.418,20200923045302
102,05:16:45.725,20200923045341
103,05:16:45.901,20200923045430
104,05:16:46.405,20200923045304
105,05:16:46.596,20200923045311
106,05:16:46.812,20200923045406
107,05:16:47.315,20200923045306
108,05:16:47.320,20200923045314
109,05:16:47.808,20200923045440
110,05:16:48.115,20200923045228
111,05:16:48.305,20200923045309
112,05:16:48.715,20200923045408
113,05:16:49.004,20200923045231
114,05:16:49.202,20200923045445
115,05:16:49.796,20200923045336
116,05:16:50.197,20200923045447
117,05:16:50.522,20200923045403
118,05:16:50.903,20200923045411
119,05:16:51.319,20200923045412
120,05:16:51.405,20200923045449
121,05:16:51.894,20200923045452
122,05:16:52.198,20200923045344
123,05:16:52.412,20200923045415
124,05:16:52.901,20200923045339
125,05:16:52.918,20200923045239
126,05:16:53.316,20200923045342
127,05:16:53.702,20200923045243
128,05:16:53.929,20200923045454
129,05:16:54.492,20200923045343
130,05:16:54.635,20200923045418
131,05:16:54.991,20200923045345
132,05:16:55.504,20200923045433
133,05:16:55.608,20200923045351
134,05:16:56.104,20200923045437
135,05:16:56.496,20200923045420
136,05:16:56.614,20200923045349
137,05:16:57.097,20200923045446
138,05:16:57.405,20200923045422
139,05:16:57.603,20200923045509
140,05:16:58.021,20200923045514
141,05:16:58.397,20200923045256
142,05:16:58.507,20200923045355
143,05:16:59.001,20200923045358
144,05:16:59.309,20200923045356
145,05:16:59.421,20200923045359
146,05:16:59.913,20200923045500
147,05:17:00.196,20200923045357
148,05:17:00.418,20200923045501
149,05:17:00.933,20200923045426
150,05:17:01.005,20200923045507
151,05:17:01.506,20200923045414
152,05:17:01.819,20200923045404
153,05:17:02.020,20200923045546
154,05:17:02.591,20200923045511
155,05:17:02.606,20200923045431
156,05:17:03.004,20200923045547
157,05:17:03.417,20200923045405
158,05:17:03.492,20200923045427
159,05:17:04.026,20200923045534
160,05:17:04.405,20200923045434
161,05:17:04.624,20200923045550
162,05:17:05.242,20200923045435
163,05:17:05.308,20200923045407
164,05:17:05.794,20200923045557
165,05:17:06.328,20200923045541
166,05:17:06.416,20200923045307
167,05:17:06.832,20200923045438
168,05:17:07.330,20200923045548
169,05:17:07.408,20200923045443
170,05:17:07.817,20200923045600
171,05:17:08.300,20200923045410
172,05:17:08.315,20200923045603
173,05:17:08.831,20200923045552
174,05:17:09.112,20200923045313
175,05:17:09.297,20200923045442
176,05:17:09.724,20200923045444
177,05:17:10.006,20200923045330
178,05:17:10.720,20200923045559
179,05:17:10.747,20200923045332
180,05:17:11.203,20200923045455
181,05:17:11.504,20200923045413
182,05:17:11.704,20200923045456
183,05:17:12.194,20200923045459
184,05:17:12.419,20200923045333
185,05:17:12.610,20200923045604
186,05:17:13.119,20200923045610
187,05:17:13.298,20200923045453
188,05:17:13.621,20200923045615
189,05:17:14.201,20200923045423
190,05:17:14.297,20200923045614
191,05:17:14.904,20200923045513
192,05:17:15.008,20200923045424
193,05:17:15.421,20200923045621
194,05:17:15.912,20200923045458
195,05:17:16.007,20200923045619
196,05:17:16.616,20200923045432
197,05:17:16.633,20200923045620
198,05:17:17.221,20200923045625
199,05:17:17.406,20200923045502
200,05:17:18.020,20200923045627
201,05:17:18.101,20200923045503
202,05:17:18.512,20200923045538
203,05:17:18.911,20200923045347
204,05:17:19.013,20200923045631
205,05:17:19.536,20200923045540
206,05:17:19.703,20200923045504
207,05:17:20.006,20200923045638
208,05:17:20.441,20200923045633
209,05:17:20.606,20200923045352
210,05:17:20.927,20200923045545
211,05:17:21.455,20200923045450
212,05:17:21.471,20200923045634
213,05:17:22.037,20200923045643
214,05:17:22.100,20200923045451
215,05:17:22.603,20200923045602
216,05:17:22.920,20200923045457
217,05:17:23.019,20200923045605
