,Trade,StartTime,EndTime,ElapseTime
361,20200923045603,23-09-2020 05:15:30.595000,23-09-2020 05:18:38.795000,188200.0
362,20200923045604,23-09-2020 05:15:28.824000,23-09-2020 05:19:55.083000,266259.0
363,20200923045604,23-09-2020 05:15:30.599000,23-09-2020 05:17:12.610000,102011.0
364,20200923045605,23-09-2020 05:15:28.828000,23-09-2020 05:17:23.019000,114191.0
365,20200923045605,23-09-2020 05:15:30.609000,23-09-2020 05:19:58.405000,267796.0
366,20200923045606,23-09-2020 05:15:28.832000,23-09-2020 05:17:40.506000,131674.0
367,20200923045606,23-09-2020 05:15:30.621000,23-09-2020 05:19:56.306000,265685.0
368,20200923045607,23-09-2020 05:15:28.840000,23-09-2020 05:17:41.423000,132583.0
369,20200923045607,23-09-2020 05:15:30.632000,23-09-2020 05:18:40.419000,189787.0
370,20200923045608,23-09-2020 05:15:28.844000,23-09-2020 05:18:41.509000,192665.0
371,20200923045608,23-09-2020 05:15:30.636000,23-09-2020 05:17:43.310000,132674.0
372,20200923045609,23-09-2020 05:15:28.850000,23-09-2020 05:19:59.742000,270892.0
373,20200923045609,23-09-2020 05:15:30.640000,23-09-2020 05:17:44.209000,133569.0
374,20200923045610,23-09-2020 05:15:28.854000,23-09-2020 05:17:13.119000,104265.0
375,20200923045610,23-09-2020 05:15:30.644000,23-09-2020 05:18:39.321000,188677.0
376,20200923045611,23-09-2020 05:15:28.858000,23-09-2020 05:18:03.315000,154457.0
377,20200923045611,23-09-2020 05:15:30.648000,23-09-2020 05:18:42.095000,191447.0
378,20200923045612,23-09-2020 05:15:28.865000,23-09-2020 05:20:00.510000,271645.0
379,20200923045612,23-09-2020 05:15:30.651000,23-09-2020 05:17:45.911000,135260.0
380,20200923045613,23-09-2020 05:15:30.655000,23-09-2020 05:17:46.811000,136156.0
381,20200923045613,23-09-2020 05:15:28.869000,23-09-2020 05:20:01.825000,272956.0
382,20200923045614,23-09-2020 05:15:28.873000,23-09-2020 05:17:14.297000,105424.0
383,20200923045614,23-09-2020 05:15:30.659000,23-09-2020 05:19:56.956000,266297.0
384,20200923045615,23-09-2020 05:15:30.664000,23-09-2020 05:17:13.621000,102957.0
385,20200923045615,23-09-2020 05:15:28.902000,23-09-2020 05:20:02.459000,273557.0
386,20200923045617,23-09-2020 05:15:30.669000,23-09-2020 05:20:03.874000,273205.0
387,20200923045617,23-09-2020 05:15:28.909000,23-09-2020 05:17:50.008000,141099.0
388,20200923045618,23-09-2020 05:15:28.915000,23-09-2020 05:17:49.208000,140293.0
389,20200923045618,23-09-2020 05:15:30.673000,23-09-2020 05:18:41.003000,190330.0
390,20200923045619,23-09-2020 05:15:30.677000,23-09-2020 05:17:16.007000,105330.0
391,20200923045619,23-09-2020 05:15:28.922000,23-09-2020 05:20:04.776000,275854.0
392,20200923045620,23-09-2020 05:15:30.681000,23-09-2020 05:18:47.095000,196414.0
393,20200923045620,23-09-2020 05:15:28.927000,23-09-2020 05:17:16.633000,107706.0
394,20200923045621,23-09-2020 05:15:30.685000,23-09-2020 05:17:15.421000,104736.0
395,20200923045621,23-09-2020 05:15:28.932000,23-09-2020 05:19:59.105000,270173.0
396,20200923045622,23-09-2020 05:15:28.936000,23-09-2020 05:18:04.203000,155267.0
397,20200923045622,23-09-2020 05:15:30.689000,23-09-2020 05:18:43.312000,192623.0
398,20200923045623,23-09-2020 05:15:30.693000,23-09-2020 05:17:51.708000,141015.0
399,20200923045623,23-09-2020 05:15:28.940000,23-09-2020 05:18:42.802000,193862.0
400,20200923045624,23-09-2020 05:15:30.697000,23-09-2020 05:17:25.337000,114640.0
401,20200923045624,23-09-2020 05:15:28.944000,23-09-2020 05:18:43.903000,194959.0
402,20200923045625,23-09-2020 05:15:30.712000,23-09-2020 05:20:07.761000,277049.0
403,20200923045625,23-09-2020 05:15:28.948000,23-09-2020 05:17:17.221000,108273.0
404,20200923045626,23-09-2020 05:15:28.952000,23-09-2020 05:18:45.012000,196060.0
405,20200923045626,23-09-2020 05:15:30.730000,23-09-2020 05:18:07.706000,156976.0
406,20200923045627,23-09-2020 05:15:28.956000,23-09-2020 05:20:01.109000,272153.0
407,20200923045627,23-09-2020 05:15:30.735000,23-09-2020 05:17:18.020000,107285.0
408,20200923045628,23-09-2020 05:15:30.740000,23-09-2020 05:17:54.136000,143396.0
409,20200923045628,23-09-2020 05:15:28.960000,23-09-2020 05:20:08.328000,279368.0
410,20200923045629,23-09-2020 05:15:28.964000,23-09-2020 05:18:44.514000,195550.0
411,20200923045629,23-09-2020 05:15:30.745000,23-09-2020 05:17:54.928000,144183.0
412,20200923045630,23-09-2020 05:15:30.750000,23-09-2020 05:17:55.808000,145058.0
413,20200923045630,23-09-2020 05:15:28.968000,23-09-2020 05:20:08.999000,280031.0
414,20200923045631,23-09-2020 05:15:30.754000,23-09-2020 05:20:03.199000,272445.0
415,20200923045631,23-09-2020 05:15:28.972000,23-09-2020 05:17:19.013000,110041.0
416,20200923045632,23-09-2020 05:15:30.759000,23-09-2020 05:18:50.295000,199536.0
417,20200923045632,23-09-2020 05:15:28.975000,23-09-2020 05:17:56.609000,147634.0
418,20200923045633,23-09-2020 05:15:28.979000,23-09-2020 05:17:20.441000,111462.0
419,20200923045633,23-09-2020 05:15:30.762000,23-09-2020 05:20:11.326000,280564.0
420,20200923045634,23-09-2020 05:15:28.983000,23-09-2020 05:17:21.471000,112488.0
421,20200923045634,23-09-2020 05:15:30.766000,23-09-2020 05:20:13.131000,282365.0
422,20200923045636,23-09-2020 05:15:30.770000,23-09-2020 05:18:45.514000,194744.0
423,20200923045636,23-09-2020 05:15:28.987000,23-09-2020 05:18:08.613000,159626.0
424,20200923045637,23-09-2020 05:15:28.990000,23-09-2020 05:18:10.117000,161127.0
425,20200923045637,23-09-2020 05:15:30.774000,23-09-2020 05:18:46.523000,195749.0
426,20200923045638,23-09-2020 05:15:29.004000,23-09-2020 05:18:46.020000,197016.0
